"date","state","source","section","swab_id","swab_type","species","temp","sex","mass","fa","id","band_size","recap","rc","age","age_confidence","wing_score","wing_score2","site"
"8/27/20","WI","KEL","","KL20WI1105","BAT","MYLU",NA,"M",7.42,37.5,"P_989.001034203189",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1106","BAT","MYLU",NA,"M",6.63,38.2,"P_989.001034203134",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1107","BAT","MYLU",NA,"M",7,37.4,"P_989.001034203190",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1108","BAT","MYLU",NA,"M",6.46,36.2,"P_989.001034203149",2.9,"N","R","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1109","BAT","MYLU",NA,"M",8.51,39,"P_989.001034203179",2.9,"N","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1110","BAT","MYLU",NA,"M",7.44,37.6,"P_989.001034203198",2.9,"N","NR","A",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1111","BAT","MYLU",NA,"M",8.96,37.4,"P_989.001034203176",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1112","BAT","MYLU",NA,"M",7.16,37.9,"P_989.001034203153",2.9,"N","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1113","BAT","MYLU",NA,"M",6.79,38.1,"P_989.001034203133",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1114","BAT","MYLU",NA,"F",6.76,35.6,"P_989.001034203192",2.9,"N","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1115","BAT","MYLU",NA,"F",6.71,36.6,"P_989.001034203110",2.9,"","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1116","BAT","MYLU",NA,"F",7.21,36.2,"P_989.001034203132",2.9,"","R","A",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1117","BAT","MYLU",NA,"F",7.68,38.2,"P_989.001034203136",2.9,"","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1119","BAT","MYLU",NA,"M",6.77,38.2,"P_989.001034203156",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1120","BAT","MYLU",NA,"F",9,38.3,"P_989.001034203202",2.9,"N","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1121","BAT","MYLU",NA,"M",6.8,37.4,"P_989.001034203125",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1122","BAT","MYLU",NA,"F",6.67,37.2,"P_989.001034203163",2.9,"","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1123","BAT","MYLU",NA,"F",7.57,37.9,"P_989.001034203147",2.9,"","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1124","BAT","MYLU",NA,"F",6.38,38.5,"P_989.001034203108",2.9,"","R","A",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1125","BAT","MYLU",NA,"F",8.28,38.8,"P_989.001034203113",2.9,"","R","A",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1126","BAT","MYLU",NA,"M",7.21,37.7,"P_989.001034203129",2.9,"","R","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1127","BAT","MYLU",NA,"M",9.07,36.5,"P_989.001034203173",2.9,"","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1128","BAT","MYLU",NA,"M",8.21,36.2,"P_989.001034203117",2.9,"","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1129","BAT","MYLU",NA,"F",6.52,37.4,"P_989.001034203175",2.9,"","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1130","BAT","MYLU",NA,"M",7.88,37.8,"P_989.001034203158",2.9,"","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1131","BAT","MYLU",NA,"M",6.56,36.6,"P_989.001034203162",2.9,"","R","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1132","BAT","MYLU",NA,"F",8,38,"P_989.001034203195",2.9,"","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1133","BAT","MYLU",NA,"F",7.62,38.2,"P_989.001034203180",2.9,"","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1134","BAT","MYLU",NA,"F",7.16,36.8,"P_989.001034203276",2.9,"","NR","J",1,NA,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1135","BAT","MYLU",NA,"F",7,37.8,"P_989.001034203214",2.9,"","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1136","BAT","MYLU",NA,"M",6.47,37.2,"P_989.001034203297",2.9,"","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1137","BAT","MYLU",NA,"M",9.54,37.5,"P_989.001034203206",2.9,"","R","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1138","BAT","MYLU",NA,"F",9.75,38.2,"P_989.001034203298",2.9,"","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1139","BAT","MYLU",NA,"F",7.41,36.5,"P_989.001034203294",2.9,"","NR","J",1,0,NA,"MAOC"
"9/2/20","WI","KEL","","KL20WI1140","BAT","MYLU",NA,"M",10.08,36.5,"P_989.001034203229",2.9,"N","R","A",1,1,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1141","BAT","MYLU",NA,"M",8.75,38.2,"P_989.001034203275",2.9,"N","R","A",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1142","BAT","MYLU",NA,"M",7.63,35.3,"P_989.001034203215",2.9,"N","R","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1143","BAT","MYLU",NA,"M",7.42,36.3,"P_989.001034203278",2.9,"N","NR","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1144","BAT","MYLU",NA,"M",7.39,35.5,"P_989.001034203213",2.9,"N","R","J",0,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1145","BAT","MYLU",NA,"M",8.45,36.4,"P_989.001034203248",2.9,"N","R","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1146","BAT","MYLU",NA,"M",8.26,37.9,"P_989.001034203213",2.9,"N","R","A",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1147","BAT","MYLU",NA,"M",7.47,37.4,"P_989.001034203274",2.9,"N","NR","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1148","BAT","MYLU",NA,"M",8.32,36.5,"P_989.001034203279",2.9,"N","NR","A",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1149","BAT","MYLU",NA,"M",7.88,37.3,"P_989.001034203207",2.9,"N","R","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1150","BAT","MYLU",NA,"M",6.66,37.8,"P_989.001034203251",2.9,"N","R","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1151","BAT","MYLU",NA,"M",8.38,39.2,"P_989.001034203208",2.9,"N","R","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1152","BAT","MYLU",NA,"M",9.03,37.6,"P_989.001034203296",2.9,"N","R","A",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1153","BAT","MYLU",NA,"F",7.8,36.2,"P_989.001034203250",2.9,"N","NR","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1154","BAT","MYLU",NA,"M",7.5,39.5,"P_989.001034203287",2.9,"N","NR","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1155","BAT","MYLU",NA,"M",8.1,36.4,"P_989.001034203260",2.9,"N","R","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1156","BAT","MYLU",NA,"M",7.53,35.5,"P_989.001034203242",2.9,"N","R","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1157","BAT","MYLU",NA,"M",7.56,38.2,"P_989.001034203285",2.9,"N","NR","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1158","BAT","MYLU",NA,"M",8.43,37,"P_989.001034203280",2.9,"N","NR","J",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1159","BAT","MYLU",NA,"M",8.04,38.5,"P_989.001034203246",2.9,"N","R","A",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1160","BAT","MYLU",NA,"M",7.2,36.8,"P_989.001034203245",2.9,"N","R","A",1,1,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1161","BAT","MYLU",NA,"M",10.55,35.4,"P_989.001034203211",2.9,"N","NR","J",0,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1162","BAT","MYLU",NA,"M",7.92,37.5,"P_989.001034203243",2.9,"N","R","A",1,0,NA,"NEIN"
"9/2/20","WI","KEL","","KL20WI1163","BAT","MYLU",NA,"M",7.62,37.9,"P_989.001034203244",2.9,"N","R","A",1,0,NA,"NEIN"
